Epochs,Model 1 Loss,Model 2 Loss,Model 3 Loss
1,4.025303920674843,3.611916449848662,3.370101150604029,3.8692827092066353
2,3.8665833244823147,3.3996127761367396,3.4482418903826804,3.521260568210744
Epochs,Model 1 Loss,Model 2 Loss,Model 3 Loss,Model 4 Loss
1,5.952428629493839,5.067750722915688,4.279889082854694,4.142931682769985
2,4.986866234878163,4.208592312926815,3.8310753825209747,3.688843857854728
3,4.474235282358463,3.880750440116248,3.525244679208033,3.6175021651591184
4,4.297591110796065,3.5479192609770176,3.654533286887942,3.576069725809431
5,4.129196832871826,3.5702678591340935,3.4074440011517644,3.4708823526735375
6,4.0093781216514,3.6213881609348086,3.5286869802632754,3.5993413800018046
7,3.8957093539690546,3.4322068453790737,3.5162586595019136,3.6121553511560287
8,3.9491316389736095,3.3232571342279194,3.448926971711668,3.784461542018292
9,3.7441147332096,3.2879129770915863,3.4264821256744047,3.807092822650642
10,3.784187319815617,3.526585504572953,3.3807665195771768,3.7112128633028347
11,3.5649450206257964,3.2727094810869013,3.42807528138628,3.894403220463735
12,3.636619539192633,3.230577107829337,3.4588120317216062,4.005141256813614
